Input,Output
"[Cột: Thứ 6] [Hàng: Tiết 1-2]
Công nghệ phần mềm (841047)
Nhóm: 01
Phòng: C.E401-Phòng học Cơ sở Chính
GV: Nguyễn Quốc Huy
07:00 -> 08:40","[
  {
    ""subject"": ""Công nghệ phần mềm "",
    ""dayOfWeek"": 6,
    ""startTime"": ""07:00"",
    ""endTime"": ""08:40"",
    ""room"": ""C.E401-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 1-2]
Công nghệ phần mềm (841047)
Nhóm: 01
Phòng: C.E401-Phòng học Cơ sở Chính
GV: Nguyễn Quốc Huy
09:00 -> 11:30","[
  {
    ""subject"": ""Công nghệ phần mềm "",
    ""dayOfWeek"": 6,
    ""startTime"": ""09:00"",
    ""endTime"": ""11:30"",
    ""room"": ""C.E401-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 9-10]
Kiểm thử phần mềm (841408)
Nhóm: 01
Phòng: 1.A501-Phòng học chất lượng cao
GV: Đỗ Như Tài
13:00 -> 15:50","[
  {
    ""subject"": ""Kiểm thử phần mềm "",
    ""dayOfWeek"": 6,
    ""startTime"": ""13:00"",
    ""endTime"": ""15:50"",
    ""room"": ""1.A501-Phòng học chất lượng cao""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 9-10]
Kiểm thử phần mềm (841408)
Nhóm: 01
Phòng: 1.A501-Phòng học chất lượng cao
GV: Đỗ Như Tài
15:50 -> 17:30","[
  {
    ""subject"": ""Kiểm thử phần mềm "",
    ""dayOfWeek"": 6,
    ""startTime"": ""15:50"",
    ""endTime"": ""17:30"",
    ""room"": ""1.A501-Phòng học chất lượng cao""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 9-10]
Xử lý ngôn ngữ tự nhiên (841448)
Nhóm: 01
Phòng: 1.A501-Phòng học chất lượng cao
GV: Nguyễn Tuấn Đăng
15:50 -> 17:30","[
  {
    ""subject"": ""Xử lý ngôn ngữ tự nhiên "",
    ""dayOfWeek"": 2,
    ""startTime"": ""15:50"",
    ""endTime"": ""17:30"",
    ""room"": ""1.A501-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 6-9]
Seminar chuyên đề (ngành CNTT, ngành KTPM) (841482)
Nhóm: 03
Phòng: 1.A303-Phòng học Cơ sở 1
GV: Phan Tấn Quốc
13:00 -> 15:50","[
  {
    ""subject"": ""Seminar chuyên đề"",
    ""dayOfWeek"": 3,
    ""startTime"": ""13:00"",
    ""endTime"": ""15:50"",
    ""room"": ""1.A303-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 6-9]
Đồ án chuyên ngành (ngành CNTT, ngành KTPM) (841476)
Nhóm: 04
Phòng: 1.A303-Phòng học Cơ sở 1
GV: Phan Tấn Quốc
13:00 -> 15:50","[
  {
    ""subject"": ""Đồ án chuyên ngành"",
    ""dayOfWeek"": 5,
    ""startTime"": ""13:00"",
    ""endTime"": ""15:50"",
    ""room"": ""1.A303-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 6-7]
Các công nghệ lập trình hiện đại (841072)
Nhóm: 03
Phòng: 1.A401-Phòng học chất lượng cao
GV: Phùng Thái Thiên Trang
13:00 -> 14:40","[
  {
    ""subject"": ""Các công nghệ lập trình hiện đại"",
    ""dayOfWeek"": 6,
    ""startTime"": ""13:00"",
    ""endTime"": ""14:40"",
    ""room"": ""1.A401-Phòng học chất lượng cao""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 2-6]
Tiếng Anh tổng quát (ENG513154)
LHP: 25C1ENG51315415
Phòng: E201
GV: THS.Hồ Đình Phương Khanh
07:10 -> 11:30","[
  {
    ""subject"": ""Tiếng Anh tổng quát"",
    ""dayOfWeek"": 3,
    ""startTime"": ""07:10"",
    ""endTime"": ""11:30"",
    ""room"": ""E201""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 2-6]
Triết học Mác LêNin (PHI510023)
LHP: 25C1PHI51002310
Phòng: B2-211
GV: TS.Trần Nguyên Ký
07:10 -> 11:30","[
  {
    ""subject"": ""Triết học Mác LêNin"",
    ""dayOfWeek"": 5,
    ""startTime"": ""07:10"",
    ""endTime"": ""11:30"",
    ""room"": ""B2-211""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 8-12]
Toán ứng dụng (MAT508132)
LHP: 25C1MAT50813231
Phòng: B2-211
GV: PGS.TS.Bùi Lê Trọng Thanh
12:45 -> 17:05","[
  {
    ""subject"": ""Toán ứng dụng"",
    ""dayOfWeek"": 5,
    ""startTime"": ""12:45"",
    ""endTime"": ""17:05"",
    ""room"": ""B2-211""
  }
]"
"[Cột: Thứ 7] [Hàng: Tiết 2-6]
Kinh tế vi mô (ECO501001)
LHP: 25C1ECO50100108
Phòng: B2-211
GV: TS.Trương Thành Hiệp
07:10 -> 11:30","[
  {
    ""subject"": ""Kinh tế vi mô"",
    ""dayOfWeek"": 7,
    ""startTime"": ""07:10"",
    ""endTime"": ""11:30"",
    ""room"": ""B2-211""
  }
]"
"[Cột: Thứ 7] [Hàng: Tiết 8-12]
Luật kinh doanh (LAW511001)
LHP: 25C1LAW51100106
Phòng: B2-211
GV: TS.Nguyễn Thị Anh
12:45 -> 17:05","[
  {
    ""subject"": ""Luật kinh doanh"",
    ""dayOfWeek"": 7,
    ""startTime"": ""12:45"",
    ""endTime"": ""17:05"",
    ""room"": ""B2-211""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 1-3]
Phát triển chương trình Tiểu học (PRIM1706)
Buổi: Buổi sáng
Giờ: 6h30-9h00
Nhóm: 02
Lớp: 47.01.GDTH.B
Phòng: B.312 (ADV)
GV: Hồ Ngọc Khải
Email: khaihn@hcmue.edu.vn","[
  {
    ""subject"": ""Phát triển chương trình Tiểu học"",
    ""dayOfWeek"": 4,
    ""startTime"": ""6:30"",
    ""endTime"": ""09:00"",
    ""room"": "" B.312 (ADV)""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 10-12]
Nghiệp vụ sư phạm ở tiểu học (PRIM1704)
Buổi: Buổi chiều
Giờ: 15h10-17h40
Nhóm: 01
Lớp: 48.01.GDTH.A
Phòng: A.413 (ADV)
GV: Trần Thanh Dư
Email: dutt@hcmue.edu.vn","[
  {
    ""subject"": ""Nghiệp vụ sư phạm ở tiểu học "",
    ""dayOfWeek"": 4,
    ""startTime"": ""15:10"",
    ""endTime"": ""17:40"",
    ""room"" : ""A.413 (ADV)""
  }
]"
"[Cột: Thứ 5] [Hàng:Tiết 4-6]
Phát triển chương trình Tiểu học (PRIM1706)
Buổi: Buổi sáng
Giờ: 9h10-11h40
Nhóm: 02
Lớp: 47.01.GDTH.B
Phòng: B.118 (ADV)
GV: Hồ Ngọc Khải
Email: khaihn@hcmue.edu.vn","[
  {
    ""subject"": "" Phát triển chương trình Tiểu học"",
    ""dayOfWeek"": 5,
    ""startTime"": ""09:10"",
    ""endTime"": ""11:40"",
    ""room"" : ""B.118 (ADV)""
  }
]"
"[Cột: Thứ 6] [Hàng:Tiết 4-6]
Lý luận dạy học Tự nhiên - Xã hội (PRIM1711)
Buổi: Buổi sáng
Giờ: 9h10-11h40
Nhóm: 06
Lớp: 48.01.GDTH.F
Phòng: B.201 (ADV)
GV: Phạm Phương Anh
Email: anhpp@hcmue.edu.vn","[
  {
    ""subject"": "" Lý luận dạy học Tự nhiên - Xã hội "",
    ""dayOfWeek"": 6,
    ""startTime"": ""09:10"",
    ""endTime"": ""11:40"",
    ""room"" : ""B.201 (ADV)""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 4-6]
Tư vấn tâm lý học đường ở tiểu học (PRIM1740)
Nhóm: 02
Phòng: B.110 (ADV)
GV: Trương Thanh Chí
09:10 -> 11:40","[
  {
    ""subject"": ""Tư vấn tâm lý học đường ở tiểu học"",
    ""dayOfWeek"": 2,
    ""startTime"": ""09:10"",
    ""endTime"": ""11:40"",
    ""room"": ""B.110 (ADV)""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 1-3]
Phát triển năng lực nói và nghe cho học sinh tiểu học (PRIM1752)
Nhóm: 01
Phòng: B.118 (ADV)
GV: Nguyễn Thị Xuân Yến
06:30 -> 09:00","[
  {
    ""subject"": ""Phát triển năng lực nói và nghe cho học sinh tiểu học"",
    ""dayOfWeek"": 3,
    ""startTime"": ""06:30"",
    ""endTime"": ""09:00"",
    ""room"": ""B.118 (ADV)""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 10-12]
Giáo dục vì sự phát triển bền vững (EDUC1410)
Nhóm: 11
Phòng: B.111 (ADV)
GV: Nguyễn Hoàng Thiên
15h10 -> 17h40","[
  {
    ""subject"": ""Giáo dục vì sự phát triển bền vững"",
    ""dayOfWeek"": 3,
    ""startTime"": ""15:10"",
    ""endTime"": ""17:40"",
    ""room"": ""B.111 (ADV)""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 4-6]
Quản lý ngành Giáo dục Tiểu học (PRIM1741)
Nhóm: 02
Phòng: LLQ.D.105 (LLQ)
GV: Nguyễn Kỵ Trung
09h10 -> 11h40","[
  {
    ""subject"": ""Quản lý ngành Giáo dục Tiểu học"",
    ""dayOfWeek"": 6,
    ""startTime"": ""09:10"",
    ""endTime"": ""11:40"",
    ""room"": ""LLQ.D.105 (LLQ)""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 8-10]
Hoạt động trải nghiệm ở tiểu học (PRIM1707)
Nhóm: 04
Phòng: LVS.B.101 (LVS)
GV: Trần Thanh Dũng
12h30 -> 16h00","[
  {
    ""subject"": ""Hoạt động trải nghiệm ở tiểu học"",
    ""dayOfWeek"": 2,
    ""startTime"": ""12:30"",
    ""endTime"": ""16:00"",
    ""room"": ""LVS.B.101 (LVS)""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 10-12]
Lí luận dạy học Đạo đức (PRIM1802)
Nhóm: 02
Phòng: A.413 (ADV)
GV: Trần Thanh Dự
15h10 -> 17h40","[
  {
    ""subject"": ""Lí luận dạy học Đạo đức"",
    ""dayOfWeek"": 4,
    ""startTime"": ""15:10"",
    ""endTime"": ""17:40"",
    ""room"": ""A.413 (ADV)""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 1-3]
Lý luận dạy học Tiếng Việt ở tiểu học 2 (PRIM1719)
Nhóm: 06
Phòng: B.102 (ADV)
GV: Bùi Nguyên Bích Thy
06:30 -> 09:00","[
  {
    ""subject"": ""Lý luận dạy học Tiếng Việt ở tiểu học 2"",
    ""dayOfWeek"": 5,
    ""startTime"": ""06:30"",
    ""endTime"": ""09:00"",
    ""room"": ""B.102 (ADV)""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 10-12]
Lý luận dạy học Toán ở tiểu học (PRIM1722)
Nhóm: 07
Phòng: B.110 (ADV)
GV: Nguyễn Ngọc Đan
15h10 -> 17h40","[
  {
    ""subject"": ""Lý luận dạy học Toán ở tiểu học"",
    ""dayOfWeek"": 5,
    ""startTime"": ""15:10"",
    ""endTime"": ""17:40"",
    ""room"": ""B.110 (ADV)""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 1-3]
Lý luận dạy học Tiếng Việt ở tiểu học 2 (PRIM1719)
Nhóm: 06
Phòng: B.102 (ADV)
GV: Bùi Nguyên Bích Thy
06:30 -> 09:00","[
  {
    ""subject"": ""Lý luận dạy học Tiếng Việt ở tiểu học 2"",
    ""dayOfWeek"": 6,
    ""startTime"": ""06:30"",
    ""endTime"": ""09:00"",
    ""room"": ""B.102 (ADV)""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 4-6]
Ứng dụng công nghệ thông tin trong dạy học ở tiểu học (PRIM1725)
Nhóm: 05
Phòng: B.118 (ADV)
GV: Trần Ngọc Huy
09:10 -> 11:40","[
  {
    ""subject"": ""Ứng dụng công nghệ thông tin trong dạy học ở tiểu học"",
    ""dayOfWeek"": 6,
    ""startTime"": ""09:10"",
    ""endTime"": ""11:40"",
    ""room"": ""B.118 (ADV)""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 10-12]
Lí luận dạy học Đạo đức (PRIM1802)
Nhóm: 02
Phòng: B.312 (ADV)
GV: Trần Thanh Dự
15h10 -> 17h40","[
  {
    ""subject"": ""Lí luận dạy học Đạo đức"",
    ""dayOfWeek"": 6,
    ""startTime"": ""15:10"",
    ""endTime"": ""17:40"",
    ""room"": ""B.312 (ADV)""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 3-4]
Tiếng Nhật 4
Phòng: B9-203
","[
  {
    ""subject"": "" Tiếng Nhật 4"",
    ""dayOfWeek"": 2,
    ""startTime"": ""09:00"",
    ""endTime"": ""11:50"",
    ""room"" : ""B9-203""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 9-11]
Nguyên lý ngôn ngữ lập trình
Phòng:A4-510","[
  {
    ""subject"": "" Nguyên lý ngôn ngữ lập trình"",
    ""dayOfWeek"": 2,
    ""startTime"": ""15:00"",
    ""endTime"": ""17:50"",
    ""room"" : ""A4-510""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 3-4]
Khoa học Trái Đất
Phòng:B4-502","[
  {
    ""subject"": "" Khoa học Trái Đất"",
    ""dayOfWeek"": 3,
    ""startTime"": ""09:00"",
    ""endTime"": ""10:50"",
    ""room"" : ""B4-502""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 10-11]
Hệ Điều Hành
Phòng:B1-311","[
  {
    ""subject"": "" Hệ Điều Hành"",
    ""dayOfWeek"": 3,
    ""startTime"": ""16:00"",
    ""endTime"": ""17:50"",
    ""room"" : ""B1-311""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 3-4]
Tiếng Nhật 4
Phòng: B9-203","[
  {
    ""subject"": "" Tiếng Nhật 4"",
    ""dayOfWeek"": 4,
    ""startTime"": ""09:00"",
    ""endTime"": ""11:50"",
    ""room"" : ""B9-203""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 3-4]
Lập trình Game
Phòng: B6-302","[
  {
    ""subject"": ""Lập trình Game"",
    ""dayOfWeek"": 5,
    ""startTime"": ""07:00"",
    ""endTime"": ""08:50"",
    ""room"" : ""B6-302""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 3-4]
Tiếng Nhật 4
Phòng: B9-203","[
  {
    ""subject"": "" Tiếng Nhật 4"",
    ""dayOfWeek"": 5,
    ""startTime"": ""09:00"",
    ""endTime"": ""11:50"",
    ""room"" : ""B9-203""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 3-4]
Tiếng Nhật 4
Phòng: B9-203","[
  {
    ""subject"": "" Tiếng Nhật 4"",
    ""dayOfWeek"": 6,
    ""startTime"": ""09:00"",
    ""endTime"": ""11:50"",
    ""room"" : ""B9-203""
  }
]"
"[Cột: Thứ 6] [Hàng: Tiết 6-11]
Hệ Điều Hành(TN)
Phòng: B6-104","[
  {
    ""subject"": "" Hệ Điều Hành (TN)"",
    ""dayOfWeek"": 6,
    ""startTime"": ""13:00"",
    ""endTime"": ""17:50"",
    ""room"" : ""B16-104""
  }
]"
